DateTime,Website Name,URL,Status,Ping (ms),HTTP Time (ms),DNS Time (ms),Content Size (KB),Redirects,Keyword Check,SSL Days Left,SSL Expiry Date,Domain Days Left,Domain Expiry Date,Notes
2025-10-03T09:59:55.676703+00:00,Wildlife Anukampa,https://www.odwlanukampa.in/index.php/home/applications,Up,N/A,1657.64,3.88,62.32,0,Pass,64,2025-12-06T17:57:23+00:00,67,2025-12-10T08:22:51.100000+00:00,
2025-10-03T09:59:59.279850+00:00,Odisha Bamboo,https://www.odishabamboo.org/,Up,5.04,405.86,4.23,61.7,0,Pass,38,2025-11-11T00:10:00+00:00,169,2026-03-21T11:20:19+00:00,
2025-10-03T10:00:00.936770+00:00,OFS Disposition List (HRD),https://odishaforest.in/hrd/ofs-disposition-list-sb,Up,N/A,837.38,3.03,219.24,0,Pass,47,2025-11-19T22:20:58+00:00,340,2026-09-08T10:11:59.302000+00:00,
2025-10-03T10:00:03.508797+00:00,TT Permit Odisha,https://www.ttpermitodisha.in/,Up,272.43,860.14,3.69,31.02,0,Pass,57,2025-11-30T00:03:57+00:00,338,2026-09-07T08:34:32.369000+00:00,
2025-10-03T09:59:38.657180+00:00,Forest GIS (OFMS),https://odishaforestgis.in/ofms/,Up,Failed,490.46,62.59,5.59,0,Pass,86,2025-12-29T04:05:01+00:00,260,2026-06-21T07:31:59.451000+00:00,
2025-10-03T09:59:42.897756+00:00,SMPB Odisha,https://smpbodisha.in/,Up,152.61,1626.33,3.64,63.49,0,Pass,82,2025-12-25T02:57:27+00:00,304,2026-08-04T04:59:15.992000+00:00,
2025-10-03T09:59:47.739702+00:00,CAMPA Odisha,https://campa.odisha.gov.in/,Up,Failed,552.92,4.06,55.88,0,Pass,61,2025-12-04T04:57:50+00:00,66,2025-12-09T05:23:30.769000+00:00,
2025-10-03T09:59:51.523948+00:00,Kendu Leaves Portal,https://kenduleaves.odisha.gov.in/,Up,Failed,462.0,4.19,48.95,0,Pass,46,2025-11-18T11:19:02+00:00,66,2025-12-09T05:23:30.769000+00:00,
2025-10-03T09:59:54.815641+00:00,Odisha Forest Main Portal,https://odishaforest.in/,Up,185.65,1579.06,3.37,105.88,0,Pass,47,2025-11-19T22:20:58+00:00,340,2026-09-08T10:11:59.302000+00:00,
2025-10-03T09:59:58.662689+00:00,Wildlife Anukampa,https://www.odwlanukampa.in/index.php/home/applications,Up,N/A,1272.65,3.34,62.32,0,Pass,64,2025-12-06T17:57:23+00:00,67,2025-12-10T08:22:51.100000+00:00,
